# Filename:     mountain.txt
#
# Location:     Neverland
# EPSG:         25833
# Fictitious mountain profile, created by Amaury Bélières-Frendo 2021-07-03.
#      X          Y       Z       W   tau_c    b0    h0    u0
     0.0        0.0  1231.4   209.5   384.3  1.03  0.00   0.0
     8.6        0.0  1222.8   205.2   388.6  1.02  0.00   0.0
    34.5        0.0  1201.9   194.9   399.0  1.00  0.00   0.0
    60.5        0.0  1184.7   186.7   407.6  0.98  2.37   0.0
    87.4        0.0  1166.9   178.6   416.5  0.97  2.33   0.0
   114.4        0.0  1150.7   171.3   424.6  0.95  2.30   0.0
   143.9        0.0  1133.8   164.0   433.1  0.93  2.27   0.0
   173.4        0.0  1117.9   157.3   441.0  0.92  2.24   0.0
   202.9        0.0  1102.1   150.8   449.0  0.90  2.20   0.0
   232.4        0.0  1083.4   143.5   458.3  0.88  2.17   0.0
   262.0        0.0  1065.7   136.8   467.1  0.87  2.13   0.0
   271.9        0.0  1060.3   134.8   469.9  0.86  2.12   0.0
   301.5        0.0  1045.9   129.5   477.0  0.85  2.09   0.0
   331.1        0.0  1029.7   123.9   485.1  0.83  2.06   0.0
   361.1        0.0  1014.0   118.6   493.0  0.81  2.03   0.0
   391.1        0.0  1000.3   114.1   499.9  0.80  2.00   0.0
   421.1        0.0   985.3   109.4   507.4  0.79  0.00   0.0
   451.0        0.0   969.9   104.7   515.0  0.77  0.00   0.0
   480.9        0.0   954.6   100.3   522.7  0.75  0.00   0.0
   510.8        0.0   938.3    95.8   530.9  0.74  0.00   0.0
   540.7        0.0   922.3    91.6   538.9  0.72  0.00   0.0
   578.7        0.0   903.6    86.9   548.2  0.70  0.00   0.0
   616.1        0.0   884.9    82.5   557.5  0.68  0.00   0.0
   653.4        0.0   864.7    78.0   567.6  0.66  0.00   0.0
   692.1        0.0   850.3    75.1   574.9  0.65  0.00   0.0
   732.0        0.0   830.1    71.2   585.0  0.63  0.00   0.0
   771.9        0.0   803.2    66.5   598.4  0.60  0.00   0.0
   811.3        0.0   784.0    63.5   608.0  0.58  0.00   0.0
   850.5        0.0   767.1    61.2   616.5  0.57  0.00   0.0
   889.6        0.0   750.1    59.0   625.0  0.55  0.00   0.0
   928.8        0.0   730.7    56.8   634.6  0.53  0.00   0.0
   967.1        0.0   711.7    55.0   644.1  0.51  0.00   0.0
  1005.3        0.0   694.2    53.5   652.9  0.49  0.00   0.0
  1043.6        0.0   673.0    52.1   663.5  0.47  0.00   0.0
  1081.8        0.0   652.4    51.1   673.8  0.45  0.00   0.0
  1120.2        0.0   633.4    50.4   683.3  0.43  0.00   0.0
  1158.8        0.0   613.1    50.1   693.5  0.41  0.00   0.0
  1197.3        0.0   594.6    50.0   702.7  0.39  0.00   0.0
  1235.9        0.0   579.0    50.2   710.5  0.38  0.00   0.0
  1274.4        0.0   561.2    50.6   719.4  0.36  0.00   0.0
  1312.9        0.0   543.4    51.3   728.3  0.34  0.00   0.0
  1351.7        0.0   527.3    52.1   736.4  0.33  0.00   0.0
  1391.4        0.0   511.2    53.2   744.4  0.31  0.00   0.0
  1431.0        0.0   492.7    54.6   753.6  0.29  0.00   0.0
  1470.6        0.0   476.5    56.1   761.8  0.28  0.00   0.0
  1509.9        0.0   460.3    57.8   769.9  0.26  0.00   0.0
  1549.2        0.0   444.1    59.7   778.0  0.24  0.00   0.0
  1588.6        0.0   426.9    62.0   786.5  0.23  0.00   0.0
  1627.5        0.0   411.6    64.2   794.2  0.21  0.00   0.0
  1666.0        0.0   398.6    66.2   800.7  0.20  0.00   0.0
  1704.5        0.0   377.4    69.8   811.3  0.18  0.00   0.0
  1743.0        0.0   347.8    75.4   826.1  0.15  0.00   0.0
  1780.9        0.0   342.2    76.6   828.9  0.14  0.00   0.0
  1818.9        0.0   334.4    78.2   832.8  0.13  0.00   0.0
  1856.8        0.0   321.3    81.1   839.4  0.12  0.00   0.0
  1895.8        0.0   306.7    84.4   846.6  0.11  0.00   0.0
  1935.3        0.0   289.1    88.7   855.5  0.09  0.00   0.0
  1974.7        0.0   271.3    93.2   864.4  0.07  0.00   0.0
  2014.1        0.0   251.8    98.5   874.1  0.05  0.00   0.0
  2053.5        0.0   234.8   103.3   882.6  0.03  0.00   0.0
  2091.4        0.0   217.8   108.4   891.1  0.02  0.00   0.0
  2129.3        0.0   202.6   113.2   898.7  0.00  0.00   0.0
  2167.1        0.0   191.1   116.9   904.5  0.00  0.00   0.0
  2205.0        0.0   177.4   121.4   911.3  0.00  0.00   0.0
  2243.0        0.0   164.8   125.8   917.6  0.00  0.00   0.0
  2281.1        0.0   154.4   129.4   922.8  0.00  0.00   0.0
  2319.3        0.0   144.5   133.0   927.8  0.00  0.00   0.0
  2357.4        0.0   133.5   137.0   933.2  0.00  0.00   0.0
  2397.2        0.0   122.0   141.4   939.0  0.00  0.00   0.0
  2437.0        0.0   110.8   145.7   944.6  0.00  0.00   0.0
  2476.8        0.0    98.8   150.5   950.6  0.00  0.00   0.0
  2516.6        0.0    88.9   154.5   955.5  0.00  0.00   0.0
  2556.4        0.0    77.4   159.2   961.3  0.00  0.00   0.0
  2596.2        0.0    66.0   164.1   967.0  0.00  0.00   0.0
  2636.0        0.0    51.6   170.3   974.2  0.00  0.00   0.0
  2675.8        0.0    36.1   177.2   982.0  0.00  0.00   0.0
  2715.6        0.0    19.5   184.8   990.2  0.00  0.00   0.0
  2755.4        0.0    12.8   187.9   993.6  0.00  0.00   0.0
  2795.2        0.0    10.2   189.1   994.9  0.00  0.00   0.0
  2835.0        0.0     9.4   189.5   995.3  0.00  0.00   0.0
  2874.8        0.0     8.9   189.8   995.5  0.00  0.00   0.0
  2914.5        0.0     8.6   189.9   995.7  0.00  0.00   0.0
  2954.3        0.0     7.7   190.3   996.1  0.00  0.00   0.0
  2993.8        0.0     5.8   191.2   997.1  0.00  0.00   0.0
  3033.1        0.0     5.3   191.5   997.4  0.00  0.00   0.0
  3072.5        0.0     5.6   191.3   997.2  0.00  0.00   0.0
  3111.8        0.0     4.9   191.7   997.5  0.00  0.00   0.0
  3151.1        0.0     5.5   191.4   997.2  0.00  0.00   0.0
  3190.5        0.0     5.1   191.6   997.5  0.00  0.00   0.0
  3229.8        0.0     5.2   191.5   997.4  0.00  0.00   0.0
  3269.4        0.0     5.7   191.3   997.1  0.00  0.00   0.0
  3308.9        0.0     3.0   192.6   998.5  0.00  0.00   0.0
  3348.5        0.0     3.9   192.1   998.0  0.00  0.00   0.0
  3388.0        0.0     4.5   191.8   997.8  0.00  0.00   0.0
  3427.6        0.0     3.6   192.3   998.2  0.00  0.00   0.0
  3467.1        0.0     3.0   192.6   998.5  0.00  0.00   0.0
  3506.7        0.0     2.9   192.6   998.5  0.00  0.00   0.0
  3546.2        0.0     2.9   192.6   998.5  0.00  0.00   0.0
